completion_time,spatial_errors,target_distance
1680.00, 13.27,2
1660.00, 5.69,2
1100.00, 0.04,1
1220.00, 4.21,1
1840.00, 2.21,3
1020.00, 4.11,1
1300.00, 7.99,1
1320.00, 0.11,2
1420.00, 1.66,2
1080.00, 3.10,1
780.00, 0.00,0
780.00, 0.00,0
1560.00, 9.72,2
1700.00, 0.00,3
820.00, 0.00,0
1420.01, 2.45,3
1120.00, 3.14,1
1380.00, 16.00,3
1940.00, 19.21,3
2280.00, 4.37,3
980.00, 3.25,2
1000.00, 0.00,0
1540.00, 7.00,1
740.01, 0.00,0
1860.00, 0.00,2
740.00, 1.20,0
700.01, 0.58,0
1180.00, 0.00,0
1160.00, 4.98,1
1860.00, 3.51,3
2200.00, 4.58,3
780.00, 0.00,0
1540.00, 18.98,2
1500.00, 5.82,3
1500.00, 2.54,2
1680.00, 9.64,1
1379.99, 0.58,2
920.01, 0.00,1
699.99, 0.41,0
860.00, 2.70,0
920.00, 1.41,0
1359.99, 0.96,2
1480.00, 0.00,3
1220.00, 0.00,2
1340.00, 0.00,3
1339.99, 0.00,3
1079.99, 0.00,1
1100.00, 1.18,2
1020.00, 0.29,1
1299.99, 1.98,3
1039.99, 0.32,2
1340.02, 5.80,1
1040.00, 3.05,1
1780.02, 0.00,3
2000, 0.00,2
660.00, 2.52,0
899.99, 2.42,1
1259.99, 0.77,3
659.99, 0.68,0
1080.01, 0.58,3
1280.00, 3.90,2
980.02, 1.94,3
859.99, 2.79,2
1020.00, 3.39,0
1559.99, 4.38,2
959.99, 0.00,1
720.00, 0.37,0
660.00, 0.00,0
980.00, 0.11,1
780.01, 0.30,0
1000.00, 0.00,1
1280.00, 0.00,3
1660.01, 22.49,3
1200.02, 0.00,0
1640.01, 0.00,3
800.01, 0.00,0
1559.99, 6.38,2
900.00, 0.00,0
1479.99, 11.83,2
1640.00, 8.24,2
919.99, 0.47,0
1120.02, 4.79,1
1559.99, 16.42,3
2000, 7.40,2
2100.00, 3.23,3
940.00, 2.09,1
1140.00, 4.36,1
1000.00, 0.00,0
1120.00, 1.10,1
1480.00, 2.69,2
1560.01, 19.40,3
2000, 0.00,3
1599.99, 14.31,3
760.00, 0.00,0
2280.01, 4.61,3
1279.99, 9.09,2
1519.99, 1.15,2
1539.98, 14.97,2
940.02, 3.04,1
1540.00, 8.22,3
1100.01, 4.61,1
920.00, 2.12,1
619.98, 0.88,0
1199.98, 29.62,1
999.99, 0.00,0
1120.00, 3.80,1
1680.00, 6.33,2
700.00, 0.00,0
1679.98, 16.04,1
2200.02, 49.02,2
1119.99, 8.73,1
1779.99, 0.25,2
659.98, 0.00,0
1160.00, 19.24,2
720.00, 0.56,0
1479.98, 16.81,2
820.00, 0.78,0
740.03, 0.00,0
1119.99, 10.61,3
1140.02, 0.86,2
1400.04, 10.06,1
1120.00, 11.28,2
1520.03, 9.42,3
739.98, 0.43,0
740.03, 0.00,0
840.00, 1.86,1
1260.01, 13.38,1
1560.00, 49.93,3
1280.01, 1.90,2
1740.01, 18.71,3
1160.01, 2.58,1
1639.99, 7.07,2
1520.03, 13.84,2
720.01, 0.69,0
1579.98, 10.35,1
1160.00, 3.02,3
739.99, 0.00,0
1420.01, 22.06,3
1519.98, 7.55,3
1220.00, 4.41,1
1440.00, 0.86,3
1520.03, 23.22,3
680.04, 1.14,0
1560.01, 23.61,1
1080.03, 1.63,3
1139.98, 4.09,2
1439.99, 2.65,2
2059.99, 5.10,3
1419.99, 1.81,2
719.99, 0.00,0
739.98, 0.00,0
1160.01, 4.25,1
1560.04, 1.58,2
1459.98, 12.22,3
979.98, 0.00,1
599.98, 0.00,0
2020.01, 7.41,2
1599.98, 2.44,3
720.00, 0.00,0
979.98, 1.70,1
1259.98, 3.62,1
900.03, 3.34,1
1080.03, 3.08,3
1780.01, 24.39,2
820.02, 3.06,1
1239.99, 0.57,3
1459.98, 10.32,2
1380.02, 0.10,2
1119.99, 0.00,1
1460.03, 4.72,2
779.99, 0.00,0
680.01, 0.00,0
1139.98, 3.95,1
1059.99, 2.39,1
1920.00, 5.40,3
640.02, 0.00,0
1880.02, 6.16,3
1100.01, 2.76,3
799.99, 0.00,0
720.00, 1.54,0
1299.98, 11.82,2
720.00, 0.00,0
1180.03, 0.00,1
1679.98, 0.83,2
680.00, 0.46,0
1119.98, 2.68,1
1420.02, 15.94,3
1359.98, 17.87,3
1179.98, 1.74,2
1560.04, 10.78,2
1359.99, 11.90,3
699.98, 0.00,0
720.00, 1.03,0
1099.99, 0.14,1
1580.03, 0.00,1
840.02, 1.27,1
1280.03, 12.32,2
740.05, 0.00,0
1199.96, 1.06,0
1820.01, 0.77,3
1960.00, 27.75,3
1659.97, 1.63,3
719.97, 0.00,0
1740.07, 5.36,3
1139.99, 1.46,1
2000, 6.36,2
2359.96, 38.26,3
780.01, 0.91,0
1200.01, 1.63,1
819.96, 0.00,1
1320.02, 16.30,2
1860.00, 25.16,2
1059.97, 0.70,1
900.00, 0.14,0
2159.96, 32.94,3
1260.04, 4.04,2
2299.97, 7.97,3
1359.99, 9.02,2
1900.01, 2.12,3
1080.04, 1.25,2
1120.03, 0.00,1
1280.05, 10.28,3
999.98, 0.00,1
1200.02, 7.21,2
680.07, 2.74,0
1240.00, 0.00,1
719.98, 0.00,0
2000, 9.77,3
1339.97, 7.80,3
1079.99, 2.40,2
659.97, 0.00,0
1219.96, 0.62,2
1420.07, 2.28,3
1239.98, 0.00,1
880.00, 2.97,0
1059.97, 1.70,2
2199.99, 3.20,3
1119.97, 1.00,1
3240.00, 5.09,3
919.98, 0.00,0
679.99, 0.23,0
1080.01, 0.28,1
680.00, 0.00,0
2239.97, 25.36,3
1340.00, 0.00,1
1739.98, 5.77,2
1460.01, 3.49,2
679.98, 0.00,0
719.96, 0.00,0
1120.02, 0.00,1
999.99, 1.37,2
959.98, 0.00,1
1659.99, 18.03,0
1979.97, 86.84,3
640.05, 0.00,0
1539.97, 4.97,3
1700.01, 6.21,3
1939.98, 12.62,1
1459.96, 38.03,2
1459.96, 34.08,3
640.04, 0.00,0
1420.06, 21.49,1
1079.96, 13.18,1
1259.98, 6.11,3
1099.98, 11.67,1
